sexo,ano_nascimento,raca,estado_origem,cidade_origem,renda,possui_auxilio_alimentacao,possui_auxilio_transporte,possui_auxilio_residencia_moradia,grau_academico,area_conhecimento,descricao
F,1990,Pardo,Rio Grande do Norte,NATAL,0,False,False,False,BACHARELADO,Ciências da Saúde,FALHOU
F,1990,Pardo,Rio Grande do Norte,NATAL,0,False,False,False,BACHARELADO,Ciências da Saúde,FALHOU
F,1990,Pardo,Rio Grande do Norte,NATAL,0,False,False,False,BACHARELADO,Ciências da Saúde,REPROVADO POR NOTA E FALTA
F,1989,Branco,Rio Grande do Norte,NATAL,2198,True,False,False,BACHARELADO,Ciências Biológicas,INDEFERIDO
F,1987,Branco,Rio Grande do Norte,PAU DOS FERROS,864,False,False,False,LICENCIATURA,Ciências Humanas,APROVADO
M,1990,Pardo,Rio Grande do Norte,NATAL,2247,False,True,False,BACHARELADO,Engenharias,FALHOU
M,1990,Pardo,Rio Grande do Norte,NATAL,2247,True,False,False,BACHARELADO,Engenharias,FALHOU
F,1991,Branco,Pernambuco,SANTO ANTÔNIO,0,False,False,False,BACHARELADO,Ciências da Saúde,INDEFERIDO
F,1991,Branco,Pernambuco,SANTO ANTÔNIO,0,False,False,False,BACHARELADO,Ciências da Saúde,APROVADO
F,1991,Branco,Pernambuco,SANTO ANTÔNIO,0,False,False,False,BACHARELADO,Ciências da Saúde,APROVADO
M,1995,Branco,Rio Grande do Norte,GUARULHOS,1150,False,False,False,LICENCIATURA,Ciências Humanas,FALHOU
F,1993,Branco,Rio Grande do Norte,NATAL,4851,False,False,False,BACHARELADO,Ciências Sociais Aplicadas,APROVADO
F,1993,Branco,Rio Grande do Norte,NATAL,4851,False,False,False,BACHARELADO,Ciências Sociais Aplicadas,INDEFERIDO
M,1993,Pardo,Rio Grande do Norte,NATAL,1039,True,False,True,BACHARELADO,Ciências Exatas e da Terra,INDEFERIDO
F,1989,Pardo,Rio Grande do Norte,NATAL,13700,False,False,False,LICENCIATURA,Ciências da Saúde,APROVADO
F,1993,Branco,Rio Grande do Sul,NÃO INFORMADO,0,False,False,False,LICENCIATURA,Ciências Exatas e da Terra,APROVADO
F,1991,Pardo,Rio Grande do Norte,NATAL,650,True,False,True,BACHARELADO,Engenharias,APROVADO
M,1992,Pardo,Rio Grande do Norte,NATAL,1200,False,False,False,BACHARELADO,Engenharias,APROVADO
M,1992,Pardo,Rio Grande do Norte,NATAL,1200,False,False,False,BACHARELADO,Engenharias,FALHOU
M,1992,Negro,Rio Grande do Norte,NATAL,7095,False,False,False,BACHARELADO,Engenharias,APROVADO
M,1994,Branco,Rio Grande do Norte,MOSSORÓ,1500,True,False,True,BACHARELADO,Engenharias,FALHOU
M,1994,Branco,Rio Grande do Norte,MOSSORÓ,1500,True,False,True,BACHARELADO,Engenharias,INDEFERIDO
M,1992,Branco,Rio Grande do Norte,NÃO INFORMADO,800,False,False,False,BACHARELADO,Ciências da Saúde,APROVADO
F,1995,Branco,Rio Grande do Norte,NATAL,0,False,False,False,BACHARELADO,Ciências Exatas e da Terra,APROVADO
F,1995,Branco,Rio Grande do Norte,NATAL,0,False,False,False,BACHARELADO,Ciências Exatas e da Terra,APROVADO
F,1995,Pardo,Rio Grande do Norte,UMARIZAL,0,False,True,False,BACHARELADO,Ciências da Saúde,APROVADO
F,1995,Pardo,Rio Grande do Norte,UMARIZAL,0,False,True,False,BACHARELADO,Ciências da Saúde,FALHOU
F,1995,Pardo,Rio Grande do Norte,UMARIZAL,0,True,False,False,BACHARELADO,Ciências da Saúde,APROVADO
F,1995,Pardo,Rio Grande do Norte,UMARIZAL,0,True,False,False,BACHARELADO,Ciências da Saúde,FALHOU
F,1992,Pardo,Rio Grande do Norte,JOÃO CÂMARA,0,False,False,False,BACHARELADO,Ciências Sociais Aplicadas,INDEFERIDO
F,1992,Pardo,Rio Grande do Norte,JOÃO CÂMARA,0,False,False,False,BACHARELADO,Ciências Sociais Aplicadas,FALHOU
F,1992,Pardo,Rio Grande do Norte,JOÃO CÂMARA,0,False,False,False,BACHARELADO,Ciências Sociais Aplicadas,APROVADO
F,1993,Branco,Rio Grande do Norte,NATAL,1000,False,False,False,BACHARELADO,Engenharias,INDEFERIDO
F,1993,Branco,Rio Grande do Norte,NATAL,1000,False,False,False,BACHARELADO,Engenharias,APROVADO
F,1993,Branco,Rio Grande do Norte,NATAL,1000,False,False,False,BACHARELADO,Engenharias,APROVADO
M,1990,Pardo,Rio Grande do Norte,CEARÁ - MIRIM,1045,True,False,False,BACHARELADO,Ciências Exatas e da Terra,FALHOU
M,1990,Pardo,Rio Grande do Norte,CEARÁ - MIRIM,1045,True,False,False,BACHARELADO,Ciências Exatas e da Terra,APROVADO
M,1990,Pardo,Rio Grande do Norte,CEARÁ - MIRIM,1045,True,False,False,BACHARELADO,Ciências Exatas e da Terra,INDEFERIDO
M,1990,Pardo,Rio Grande do Norte,CEARÁ - MIRIM,1045,True,False,False,BACHARELADO,Ciências Exatas e da Terra,APROVADO
M,1974,Branco,Rio Grande do Norte,NATAL,1100,False,False,False,LICENCIATURA,"Linguística, Letras e Artes",INDEFERIDO
M,1974,Branco,Rio Grande do Norte,NATAL,1100,False,False,False,LICENCIATURA,"Linguística, Letras e Artes",APROVADO
F,1995,Branco,Rio Grande do Norte,CAICÓ,200,False,False,False,LICENCIATURA,Ciências Biológicas,APROVADO
F,1991,Pardo,Rio Grande do Norte,PENDÊNCIAS,1295,False,False,False,LICENCIATURA,Ciências Exatas e da Terra,APROVADO
F,1991,Pardo,Rio Grande do Norte,PENDÊNCIAS,1295,False,False,False,LICENCIATURA,Ciências Exatas e da Terra,APROVADO
M,1976,Pardo,Rio Grande do Norte,NATAL,4065,False,False,False,LICENCIATURA,Ciências Humanas,APROVADO
M,1976,Pardo,Rio Grande do Norte,NATAL,4065,False,False,False,LICENCIATURA,Ciências Humanas,APROVADO
F,1993,Pardo,Rio Grande do Norte,SÃO TOMÉ,1045,False,False,False,LICENCIATURA,Ciências Exatas e da Terra,APROVADO
F,1987,Branco,Rio Grande do Norte,NATAL,14900,False,False,False,LICENCIATURA,"Linguística, Letras e Artes",FALHOU
M,1996,Pardo,Rio Grande do Norte,CURRAIS NOVOS,1698,True,False,True,LICENCIATURA,Ciências Exatas e da Terra,FALHOU
F,1990,Pardo,Rio Grande do Norte,NATAL,400,False,False,False,BACHARELADO,Ciências Sociais Aplicadas,INDEFERIDO
F,1990,Pardo,Rio Grande do Norte,NATAL,400,False,False,False,BACHARELADO,Ciências Sociais Aplicadas,APROVADO
M,1993,Branco,Rio Grande do Norte,CURRAIS NOVOS,14000,False,False,False,BACHARELADO,Ciências Biológicas,APROVADO
M,1987,Pardo,Rio Grande do Norte,NATAL,929,False,False,False,BACHARELADO,Ciências Sociais Aplicadas,APROVADO
M,1996,Branco,Maranhão,SÃO LUÍS,25973,False,False,False,BACHARELADO,Ciências Exatas e da Terra,APROVADO
F,1991,Pardo,Rio Grande do Norte,NATAL,1271,False,False,False,BACHARELADO,Engenharias,INDEFERIDO
F,1991,Pardo,Rio Grande do Norte,NATAL,1271,False,False,False,BACHARELADO,Engenharias,FALHOU
F,1991,Pardo,Rio Grande do Norte,NATAL,1271,False,False,False,BACHARELADO,Engenharias,APROVADO
M,1995,Pardo,Rio Grande do Norte,SANTA CRUZ,998,True,False,True,BACHARELADO,Engenharias,INDEFERIDO
M,1995,Pardo,Rio Grande do Norte,SANTA CRUZ,998,True,False,True,BACHARELADO,Engenharias,APROVADO
F,1988,Negro,Rio Grande do Norte,MACEIÓ,1000,False,True,False,LICENCIATURA,Ciências Humanas,INDEFERIDO
F,1988,Negro,Rio Grande do Norte,MACEIÓ,1000,False,True,False,LICENCIATURA,Ciências Humanas,FALHOU
F,1988,Negro,Rio Grande do Norte,MACEIÓ,1000,True,False,False,LICENCIATURA,Ciências Humanas,INDEFERIDO
F,1988,Negro,Rio Grande do Norte,MACEIÓ,1000,True,False,False,LICENCIATURA,Ciências Humanas,FALHOU
F,1996,Branco,Paraíba,JOÃO PESSOA,0,False,False,False,BACHARELADO,Ciências da Saúde,APROVADO
F,1983,Negro,Rio Grande do Norte,NATAL,1502,False,False,False,LICENCIATURA,Ciências Sociais Aplicadas,INDEFERIDO
F,1988,Pardo,Rio Grande do Norte,NATAL,1172,False,False,False,LICENCIATURA,Ciências Sociais Aplicadas,INDEFERIDO
M,1990,Pardo,Rio Grande do Norte,NATAL,1800,False,False,False,BACHARELADO,Ciências Exatas e da Terra,INDEFERIDO
F,1992,Pardo,Rio Grande do Norte,NATAL,4000,False,False,False,BACHARELADO,Ciências Agrárias,INDEFERIDO
F,1992,Pardo,Rio Grande do Norte,NATAL,4000,False,False,False,BACHARELADO,Ciências Agrárias,APROVADO
M,1983,Pardo,Rio Grande do Norte,NATAL,1500,False,False,False,BACHARELADO,Ciências Sociais Aplicadas,APROVADO
M,1985,Pardo,Rio Grande do Norte,SÃO PAULO DO POTENGI,6313,False,False,False,BACHARELADO,Ciências Sociais Aplicadas,INDEFERIDO
M,1985,Pardo,Rio Grande do Norte,SÃO PAULO DO POTENGI,6313,False,False,False,BACHARELADO,Ciências Sociais Aplicadas,APROVADO
M,1979,Branco,Rio Grande do Sul,SÃO PAULO DAS MISSÕES,400,True,False,True,BACHARELADO,Ciências da Saúde,INDEFERIDO
F,1996,Pardo,Rio Grande do Norte,PAU DOS FERROS,7667,True,False,False,BACHARELADO,Ciências da Saúde,FALHOU
F,1996,Pardo,Rio Grande do Norte,PAU DOS FERROS,7667,True,False,False,BACHARELADO,Ciências da Saúde,INDEFERIDO
F,1986,Pardo,Rio Grande do Norte,NATAL,1100,True,False,False,BACHARELADO,Ciências da Saúde,INDEFERIDO
F,1986,Pardo,Rio Grande do Norte,NATAL,1100,True,False,False,BACHARELADO,Ciências da Saúde,APROVADO
M,1988,Negro,Rio Grande do Norte,NATAL,1700,False,False,False,BACHARELADO,"Linguística, Letras e Artes",APROVADO
M,1988,Negro,Rio Grande do Norte,NATAL,1700,False,False,False,BACHARELADO,"Linguística, Letras e Artes",APROVADO
M,1996,Branco,Rio Grande do Norte,AREIA BRANCA,1193,True,False,False,LICENCIATURA,"Linguística, Letras e Artes",APROVADO
M,1994,Negro,Rio Grande do Norte,JOÃO CÂMARA,880,True,False,True,LICENCIATURA,Ciências Exatas e da Terra,APROVADO
M,1994,Negro,Rio Grande do Norte,JOÃO CÂMARA,880,True,False,True,LICENCIATURA,Ciências Exatas e da Terra,APROVADO
M,1986,Branco,Rio Grande do Norte,NATAL,2090,True,False,False,BACHARELADO,Engenharias,APROVADO
M,1986,Branco,Rio Grande do Norte,NATAL,2090,True,False,False,BACHARELADO,Engenharias,APROVADO
M,1986,Branco,Rio Grande do Norte,NATAL,2090,True,False,False,BACHARELADO,Engenharias,INDEFERIDO
M,1991,Branco,Rio Grande do Norte,NATAL,1553,False,False,False,BACHARELADO,Ciências Sociais Aplicadas,APROVADO
M,1991,Branco,Rio Grande do Norte,NATAL,1553,False,False,False,BACHARELADO,Ciências Sociais Aplicadas,INDEFERIDO
F,1996,Pardo,Rio Grande do Norte,NATAL,7400,False,False,False,BACHARELADO,Ciências da Saúde,INDEFERIDO
M,1990,Branco,Não Informado,NÃO INFORMADO,7048,False,False,False,BACHARELADO,Ciências Exatas e da Terra,FALHOU
M,1989,Negro,Rio Grande do Norte,CAMPO REDONDO,1500,False,False,False,BACHARELADO,Ciências da Saúde,INDEFERIDO
M,1983,Pardo,Rio Grande do Norte,NATAL,2140,True,False,False,BACHARELADO,Ciências Biológicas,INDEFERIDO
M,1983,Pardo,Rio Grande do Norte,NATAL,2140,True,False,False,BACHARELADO,Ciências Biológicas,APROVADO
M,1994,Pardo,Rio Grande do Norte,VERA CRUZ,2739,True,False,False,BACHARELADO,Ciências Exatas e da Terra,APROVADO
M,1994,Pardo,Rio Grande do Norte,VERA CRUZ,2739,True,False,False,BACHARELADO,Ciências Exatas e da Terra,INDEFERIDO
M,1994,Pardo,Rio Grande do Norte,VERA CRUZ,2739,True,False,True,BACHARELADO,Ciências Exatas e da Terra,APROVADO
M,1994,Pardo,Rio Grande do Norte,VERA CRUZ,2739,True,False,True,BACHARELADO,Ciências Exatas e da Terra,INDEFERIDO
M,1995,Pardo,Rio Grande do Norte,MACAU,1435,False,True,False,BACHARELADO,Ciências Exatas e da Terra,INDEFERIDO
M,1995,Pardo,Rio Grande do Norte,MACAU,1435,False,True,False,BACHARELADO,Ciências Exatas e da Terra,APROVADO
M,1995,Pardo,Rio Grande do Norte,MACAU,1435,True,False,False,BACHARELADO,Ciências Exatas e da Terra,INDEFERIDO
M,1995,Pardo,Rio Grande do Norte,MACAU,1435,True,False,False,BACHARELADO,Ciências Exatas e da Terra,APROVADO
M,1995,Branco,Rio Grande do Norte,PARNAMIRIM,8000,False,False,False,BACHARELADO,Ciências Exatas e da Terra,APROVADO
M,1996,Pardo,Rio Grande do Norte,NATAL,0,True,False,False,BACHARELADO,Ciências Exatas e da Terra,FALHOU
M,1996,Pardo,Rio Grande do Norte,NATAL,0,True,False,False,BACHARELADO,Ciências Exatas e da Terra,INDEFERIDO
F,1993,Branco,Rio Grande do Norte,MANAUS,1100,False,False,False,BACHARELADO,Ciências Biológicas,APROVADO
F,1993,Branco,Rio Grande do Norte,MANAUS,1100,False,False,False,BACHARELADO,Ciências Biológicas,INDEFERIDO
M,1991,Pardo,Rio Grande do Norte,MAXARANGUAPE,1996,False,False,False,BACHARELADO,Ciências Exatas e da Terra,APROVADO
M,1994,Pardo,Rio Grande do Norte,NATAL,2719,True,False,True,BACHARELADO,Ciências Sociais Aplicadas,INDEFERIDO
F,1991,Pardo,Rio Grande do Norte,NATAL,1200,True,False,False,BACHARELADO,Engenharias,APROVADO
F,1994,Pardo,Rio Grande do Norte,NATAL,8580,False,False,False,BACHARELADO,Engenharias,APROVADO
F,1993,Branco,Rio Grande do Norte,NATAL,5000,False,False,False,BACHARELADO,Ciências da Saúde,APROVADO
M,1975,Pardo,Pernambuco,RECIFE,4071,False,False,False,BACHARELADO,Ciências da Saúde,APROVADO
F,1996,Branco,Rio Grande do Norte,CARAÚBAS,2532,True,False,True,BACHARELADO,Ciências Exatas e da Terra,APROVADO
F,1993,Branco,Rio Grande do Norte,NATAL,1300,False,False,False,BACHARELADO,Ciências da Saúde,APROVADO
F,1994,Branco,Rio Grande do Norte,NATAL,2000,False,False,False,BACHARELADO,Engenharias,INDEFERIDO
F,1994,Branco,Rio Grande do Norte,NATAL,2000,False,False,False,BACHARELADO,Engenharias,APROVADO
F,1992,Pardo,Rio Grande do Norte,NATAL,2450,False,False,False,BACHARELADO,Ciências da Saúde,APROVADO
F,1989,Branco,Rio Grande do Norte,NATAL,4967,False,False,False,LICENCIATURA,"Linguística, Letras e Artes",FALHOU
M,1995,Não Informado,Rio Grande do Norte,CURRAIS NOVOS,4664,True,False,True,BACHARELADO,Engenharias,APROVADO
M,1995,Não Informado,Rio Grande do Norte,CURRAIS NOVOS,4664,True,False,True,BACHARELADO,Engenharias,FALHOU
M,1995,Não Informado,Rio Grande do Norte,CURRAIS NOVOS,4664,True,False,True,BACHARELADO,Engenharias,INDEFERIDO
M,1992,Pardo,Rio Grande do Norte,NATAL,1045,False,False,False,BACHARELADO,Ciências Sociais Aplicadas,APROVADO
M,1992,Pardo,Rio Grande do Norte,NATAL,1045,False,False,False,BACHARELADO,Ciências Sociais Aplicadas,INDEFERIDO
M,1996,Pardo,Rio Grande do Norte,NATAL,1797,False,False,False,BACHARELADO,Ciências da Saúde,INDEFERIDO
M,1996,Pardo,Rio Grande do Norte,NATAL,1797,False,False,False,BACHARELADO,Ciências da Saúde,APROVADO
M,1996,Pardo,Rio Grande do Norte,NATAL,1797,False,False,False,BACHARELADO,Ciências da Saúde,APROVADO
M,1989,Pardo,Rio Grande do Norte,NATAL,3905,True,False,False,BACHARELADO,Ciências da Saúde,APROVADO
F,1991,Branco,Rio Grande do Norte,NATAL,1898,False,False,False,BACHARELADO,Engenharias,FALHOU
F,1991,Branco,Rio Grande do Norte,NATAL,1898,False,False,False,BACHARELADO,Engenharias,APROVADO
F,1991,Branco,Rio Grande do Norte,NATAL,1898,False,False,False,BACHARELADO,Engenharias,INDEFERIDO
M,1996,Branco,Rio Grande do Norte,MACAU,1996,True,False,True,BACHARELADO,Engenharias,FALHOU
F,1996,Negro,Rio Grande do Norte,NATAL,2680,True,False,False,BACHARELADO,Engenharias,APROVADO
F,1996,Negro,Rio Grande do Norte,NATAL,2680,True,False,False,BACHARELADO,Engenharias,APROVADO
M,1990,Pardo,Rio Grande do Norte,NATAL,2541,False,False,False,BACHARELADO,Engenharias,APROVADO
F,1993,Pardo,Rio Grande do Norte,NATAL,3500,False,False,False,BACHARELADO,Ciências Biológicas,INDEFERIDO
F,1993,Pardo,Rio Grande do Norte,NATAL,3500,False,False,False,BACHARELADO,Ciências Biológicas,FALHOU
F,1990,Pardo,Rio Grande do Norte,NATAL,160,False,False,False,BACHARELADO,Ciências Biológicas,INDEFERIDO
F,1990,Pardo,Rio Grande do Norte,NATAL,160,False,False,False,BACHARELADO,Ciências Biológicas,FALHOU
F,1990,Pardo,Rio Grande do Norte,NATAL,160,False,False,False,BACHARELADO,Ciências Biológicas,APROVADO
M,1995,Branco,Rio Grande do Norte,PAU DOS FERROS,1110,True,False,True,BACHARELADO,Ciências Exatas e da Terra,INDEFERIDO
M,1995,Branco,Rio Grande do Norte,PAU DOS FERROS,1110,True,False,True,BACHARELADO,Ciências Exatas e da Terra,APROVADO
F,1997,Branco,São Paulo,SÃO PAULO,1900,True,False,True,BACHARELADO,Ciências Exatas e da Terra,APROVADO
F,1995,Pardo,Rio Grande do Norte,JOÃO PESSOA,1045,True,False,True,BACHARELADO,Ciências Exatas e da Terra,APROVADO
M,1996,Pardo,Pará,BELÉM,7500,False,False,False,BACHARELADO,Ciências Exatas e da Terra,APROVADO
M,1996,Pardo,Pará,BELÉM,7500,False,False,False,BACHARELADO,Ciências Exatas e da Terra,INDEFERIDO
M,1990,Negro,Rio Grande do Norte,NATAL,1000,False,False,False,BACHARELADO,Ciências Exatas e da Terra,APROVADO
M,1990,Negro,Rio Grande do Norte,NATAL,89,False,True,False,BACHARELADO,Ciências Agrárias,APROVADO
M,1990,Negro,Rio Grande do Norte,NATAL,89,True,False,True,BACHARELADO,Ciências Agrárias,APROVADO
F,1990,Não Informado,Rio Grande do Norte,NATAL,1500,True,False,False,BACHARELADO,Ciências Exatas e da Terra,APROVADO
M,1988,Não Informado,Rio Grande do Norte,NATAL,1,True,False,False,BACHARELADO,Ciências Exatas e da Terra,APROVADO
M,1985,Pardo,Rio Grande do Norte,NATAL,100,True,False,False,BACHARELADO,Ciências Exatas e da Terra,INDEFERIDO
M,1985,Pardo,Rio Grande do Norte,NATAL,100,True,False,False,BACHARELADO,Ciências Exatas e da Terra,APROVADO
F,1991,Negro,Rio Grande do Norte,NATAL,0,True,False,False,BACHARELADO,Ciências Exatas e da Terra,APROVADO
F,1991,Negro,Rio Grande do Norte,NATAL,0,True,False,False,BACHARELADO,Ciências Exatas e da Terra,INDEFERIDO
M,1995,Não Informado,Rio Grande do Norte,NATAL,0,True,False,False,BACHARELADO,Ciências Sociais Aplicadas,FALHOU
M,1995,Não Informado,Rio Grande do Norte,NATAL,0,True,False,False,BACHARELADO,Ciências Sociais Aplicadas,INDEFERIDO
M,1993,Não Informado,,BAUCAU,1000,True,False,False,BACHARELADO,Ciências Sociais Aplicadas,INDEFERIDO
F,1992,Branco,Rio Grande do Norte,NATAL,800,False,False,False,BACHARELADO,Ciências Agrárias,APROVADO
F,1997,Branco,São Paulo,SÃO BERNARDO DO CAMPO,500,False,False,False,BACHARELADO,Ciências Exatas e da Terra,APROVADO
F,1997,Pardo,Rio Grande do Norte,NATAL,0,True,False,False,BACHARELADO,Ciências Exatas e da Terra,APROVADO
F,1997,Pardo,Rio Grande do Norte,NATAL,0,True,False,False,BACHARELADO,Ciências Exatas e da Terra,INDEFERIDO
F,1997,Negro,Rondônia,JARU,2000,False,False,False,BACHARELADO,Ciências Exatas e da Terra,APROVADO
F,1997,Negro,Rondônia,JARU,2000,False,False,False,BACHARELADO,Ciências Exatas e da Terra,INDEFERIDO
M,1996,Branco,Rio Grande do Norte,NATAL,977,True,False,False,BACHARELADO,Ciências Exatas e da Terra,APROVADO
M,1996,Pardo,Rio Grande do Norte,PATU,1000,True,False,True,BACHARELADO,Engenharias,APROVADO
F,1995,Branco,São Paulo,SÃO PAULO,9500,False,False,False,BACHARELADO,Engenharias,APROVADO
M,1995,Branco,Rio Grande do Norte,NATAL,9205,True,False,False,BACHARELADO,Engenharias,APROVADO
F,1994,Pardo,Rio Grande do Norte,NÍSIA FLORESTA,3045,False,False,False,LICENCIATURA,Ciências Exatas e da Terra,APROVADO
M,1995,Branco,São Paulo,CAMPINAS,1900,True,False,True,BACHARELADO,Engenharias,FALHOU
M,1995,Branco,Rio Grande do Norte,MOSSORÓ,2061,True,False,True,BACHARELADO,Engenharias,INDEFERIDO
M,1995,Branco,Rio Grande do Norte,MOSSORÓ,2061,True,False,True,BACHARELADO,Engenharias,APROVADO
M,1995,Branco,Rio Grande do Norte,MOSSORÓ,2061,True,False,True,BACHARELADO,Engenharias,APROVADO
M,1996,Pardo,Rio Grande do Norte,CEARÁ - MIRIM,998,True,False,False,LICENCIATURA,Ciências Exatas e da Terra,APROVADO
M,1996,Pardo,Rio Grande do Norte,CEARÁ - MIRIM,998,True,False,True,LICENCIATURA,Ciências Exatas e da Terra,APROVADO
M,1997,Não Informado,Bahia,FEIRA DE SANTANA,1000,False,False,False,BACHARELADO,Engenharias,APROVADO
M,1996,Pardo,Não Informado,NÃO INFORMADO,4500,True,False,False,BACHARELADO,Engenharias,APROVADO
M,1996,Pardo,Não Informado,NÃO INFORMADO,4500,True,False,False,BACHARELADO,Engenharias,APROVADO
M,1996,Negro,Rio Grande do Norte,NATAL,3933,True,False,False,BACHARELADO,Engenharias,APROVADO
M,1995,Pardo,Rio Grande do Norte,NATAL,12909,False,False,False,BACHARELADO,Engenharias,APROVADO
M,1994,Branco,Rio Grande do Norte,NATAL,7000,False,False,False,BACHARELADO,Engenharias,APROVADO
F,1996,Pardo,Rio Grande do Norte,NATAL,2395,False,False,False,BACHARELADO,Ciências Exatas e da Terra,APROVADO
M,1999,Branco,Rio Grande do Norte,NATAL,40000,False,False,False,BACHARELADO,Engenharias,APROVADO
M,1997,Pardo,Rio Grande do Norte,RAFAEL FERNANDES,3909,True,False,True,BACHARELADO,Engenharias,APROVADO
M,1997,Pardo,Rio Grande do Norte,RAFAEL FERNANDES,3909,True,False,True,BACHARELADO,Engenharias,INDEFERIDO
M,1996,Branco,Rio Grande do Norte,NATAL,5106,True,False,False,BACHARELADO,Engenharias,APROVADO
F,1996,Pardo,Rio Grande do Norte,NATAL,1039,True,False,True,BACHARELADO,Engenharias,APROVADO
F,1994,Pardo,Rio Grande do Norte,JOÃO CÂMARA,2796,True,False,True,BACHARELADO,Engenharias,APROVADO
F,1994,Pardo,Rio Grande do Norte,JOÃO CÂMARA,2796,True,False,True,BACHARELADO,Engenharias,APROVADO
F,1994,Pardo,Rio Grande do Norte,JOÃO CÂMARA,2796,True,False,True,BACHARELADO,Engenharias,INDEFERIDO
F,1994,Pardo,Rio Grande do Norte,CEARÁ-MIRIM,1067,False,False,False,BACHARELADO,Ciências Sociais Aplicadas,INDEFERIDO
F,1994,Pardo,Rio Grande do Norte,CEARÁ-MIRIM,1067,False,False,False,BACHARELADO,Ciências Sociais Aplicadas,APROVADO
M,1994,Negro,Rio Grande do Norte,NATAL,2090,False,False,False,LICENCIATURA,"Linguística, Letras e Artes",INDEFERIDO
M,1994,Negro,Rio Grande do Norte,NATAL,2090,False,False,False,LICENCIATURA,"Linguística, Letras e Artes",FALHOU
F,1996,Pardo,Rio Grande do Norte,NATAL,1805,False,True,False,BACHARELADO,Engenharias,APROVADO
F,1996,Pardo,Rio Grande do Norte,NATAL,1805,True,False,False,BACHARELADO,Engenharias,APROVADO
F,1994,Branco,Ceará,HORIZONTE,1810,True,False,True,BACHARELADO,Engenharias,APROVADO
